text,tweet_id
"Si no ha salido a votar, hágalo rápidamente, no corra a última hora. #ElCambioEnPrimera",1530955356708524044
"Que salgo de la casa y se larga a llover, pero eso no impedirá que salga a votar, #ElCambioEnPrimera",1530959274054193153
"Ya ejercí mi derecho al voto y puede que me equivoque, como puede que no (espero que no) Pero hoy voté porque no quiero nada regalado. Solo quiero que todo lo que trabaje y todo el esfuerzo que haga sea suficiente para vivir sabroso en mi país. 🇨🇴💪 #ElCambioEnPrimera",1530969311480795138
"Esto es por ti, por mi y por quienes ya no están.  #ElCambioEnPrimera #PetroPresidenteEnPrimera #FranciaMarquezVicepresidenta",1530979112382345218
Sería muy chimba vivir en un país en el que no debemos sentir miedo por un posible fraude en elecciones. Pero eso lo vamos a cambiar hoy ✊🏼🔥 #ColombiaConPetro #ElCambioEnPrimera,1530997233365225474
"Seguimos siendo los mismo 8 millones, necesitamos crecer en segunda vuelta! 🙏 #ElCambioEnPrimera",1531043234264358912
"Para reconstruir nuestro espíritu: por décadas nos enseñaron a odiar lo público, los pobres, las oportunidades... ¡No más, como pueblo merecemos recuperar nuestra dignidad!  #GanaPetroGanaColombia #ElCambioEnPrimera #PetroPresidenteEnPrimeraVuelta #MiVotoEsSecretosky",1530748956904398849
Se llegó la hora vamos todos a tomar las banderas y a elegir a nuestro presidente #MiVotoEsSecretosky,1530889744539955201
"Llegó el día. Hoy, el cambio es en primera. Hasta que la dignidad se haga costumbre✊  #MiVotoEsSecretosky",1530922281299582977
A bañarme pq está linda ciudadana tiene q ir a votar por el cambio de este país #MiVotoEsSecretosky,1530930548910301186
"#VotoPorFicoYLara Las Bodegas Petristas andan modo ataque de una forma descomunal, están asustados porque saben que Fico está arrasando en todo el país. FICO PRESIDENTE 🇨🇴🇨🇴 #FicoElGanador #FicoPresidente #FicoPresidenteEnPrimeraVuelta",1530945647578386432
@Legarda77443474 Ojalá sea la misma gente que vota hoy mismo por #VotoPorFicoYLara,1530946068946554883
#VotoPorFicoYLara porque con ellos me identiFICO y la tengo cLARA,1530951754128531457
Listo mi voto por los que van a ganar hoy!! Yo me identiFICO #VotoPorFicoYLara,1531006901475069954
"@diamaov Así es, EL GENOCIDA ESTA ENTERRADO!!! #PetroNuncaSeráPresidente una vez más los Uribistas pondremos Presidente. Todos menos Petro",1531051828414226432
"@PaoHerreraC En serio, hubo más de 8 millones de ignorantes que votaron por Petro. #PetroNuncaSeraPresidente",1531053646821171206
Logré convencer a 3 familiares y 4 amigos más para votar por Petroo 💜💚✊🔥 llamen a sus amigos y familia! Hagamos la tareaa #ColombiaConPetro   #YoVotoPetroPresidente,1530886469916696577
VOTE ᵖᵉᵗʳᵒ POR ᵖᵉᵗʳᵒ QUIENᵖᵉᵗʳᵒ QUIERA ᵖᵉᵗʳᵒ  🤓   #ColombiaConPetro,1530897991975981056
"#ColombiaConPetro Colombia entera Hoy se va a liberar de la narcohegemonia Colombia ya no se conocerá como el país de Pablo Escobar como el mayor productor de cocaína del mundo se conocerá como la mayor productora de Amor,Paz y vida de América Latina y del MUNDO #ColombiaConPetro",1530903606307835904
